,Player ID,First Name,Last Name,Year,AB,H,HR,RBI,SO,POS,Adjusted Salary,BA
63,abreubo01,Bobby,Abreu,1999,546,183,20,93.0,113.0,OF,576247,0.335
64,abreubo01,Bobby,Abreu,2000,576,182,25,79.0,116.0,OF,4088388,0.316
65,abreubo01,Bobby,Abreu,2001,588,170,31,110.0,137.0,OF,6752992,0.289
66,abreubo01,Bobby,Abreu,2002,572,176,20,85.0,117.0,OF,8449384,0.308
67,abreubo01,Bobby,Abreu,2003,577,173,20,101.0,126.0,OF,11869911,0.3
68,abreubo01,Bobby,Abreu,2004,574,173,30,105.0,116.0,OF,13467836,0.301
69,abreubo01,Bobby,Abreu,2005,588,168,24,102.0,134.0,OF,16098780,0.286
72,abreubo01,Bobby,Abreu,2007,605,171,16,101.0,115.0,OF,17363125,0.283
73,abreubo01,Bobby,Abreu,2008,609,180,20,100.0,109.0,OF,17835850,0.296
74,abreubo01,Bobby,Abreu,2009,563,165,15,103.0,113.0,OF,5593604,0.293
75,abreubo01,Bobby,Abreu,2010,573,146,20,78.0,132.0,OF,9906001,0.255
76,abreubo01,Bobby,Abreu,2011,502,127,8,60.0,113.0,OF,9602883,0.253
79,abreujo02,Jose,Abreu,2014,556,176,36,107.0,131.0,1B,7096720,0.317
80,abreujo02,Jose,Abreu,2015,613,178,30,101.0,140.0,1B,8775323,0.29
81,abreujo02,Jose,Abreu,2016,624,183,25,100.0,125.0,1B,11666667,0.293
112,ackledu01,Dustin,Ackley,2012,607,137,12,50.0,124.0,1B,2195243,0.226
114,ackledu01,Dustin,Ackley,2014,502,123,14,65.0,90.0,1B,1723489,0.245
130,adamsma01,Matt,Adams,2014,527,152,15,68.0,114.0,1B,523130,0.288
300,alfoned01,Edgardo,Alfonzo,1997,518,163,10,72.0,56.0,2B,321505,0.315
301,alfoned01,Edgardo,Alfonzo,1998,557,155,17,78.0,77.0,2B,2576762,0.278
302,alfoned01,Edgardo,Alfonzo,1999,628,191,27,108.0,85.0,2B,4033731,0.304
303,alfoned01,Edgardo,Alfonzo,2000,544,176,25,94.0,70.0,2B,5888673,0.324
306,alfoned01,Edgardo,Alfonzo,2003,514,133,13,81.0,41.0,2B,5217543,0.259
307,alfoned01,Edgardo,Alfonzo,2004,519,150,11,77.0,40.0,2B,8258579,0.289
319,alicelu01,Luis,Alicea,2000,540,159,6,63.0,75.0,2B,1045327,0.294
371,alomaro01,Roberto,Alomar,1989,623,184,7,56.0,76.0,2B,290331,0.295
